sl.no,smiles_format,xyz_file,energy
119,[CH]1[C@H]2C[C@@H]12,c6h10_aggregates_ag_a_004_b_005_003_selected_result_002_001_ag_a_004_b_005.xyz,-155.054337
120,[CH2]C=C=C,c6h8_aggregates_ag_a_004_b_005_005_selected_result_004_003_ag_a_004_b_005.xyz,-155.109324
121,C1[C]2CC12,c4h9_aggregates_ag_a_004_b_005_003_selected_result_027_000_ag_a_004_b_005.xyz,-155.044667
122,C=C1[CH]C1,c7h8_aggregates_ag_a_004_b_005_004_selected_result_007_000_ag_a_004_b_005.xyz,-155.084579
123,[CH]=C1CC1,c8h6_aggregates_ag_a_004_b_005_002_selected_result_013_001_ag_a_004_b_005.xyz,-155.065181
124,[C]1[CH]CC1,c5h5_aggregates_ag_a_004_b_005_007_selected_result_015_000_ag_a_004_b_005.xyz,-155.068972
125,[CH2]C1C=C1,c6h6_aggregates_ag_a_004_b_005_008_selected_result_014_003_ag_a_004_b_005.xyz,-155.057067
126,C#CC[CH2],c5h9_aggregates_ag_a_004_b_005_000_selected_result_030_002_ag_a_004_b_005.xyz,-155.077034
127,[C]=CC[CH2],c7h8_aggregates_ag_a_004_b_005_008_selected_result_018_001_ag_a_004_b_005.xyz,-155.001926
128,[C]=C([CH2])C,c6h8_aggregates_ag_a_004_b_005_007_selected_result_010_002_ag_a_004_b_005.xyz,-155.024534
129,[CH]1C[CH]C1,c5h10_aggregates_ag_a_004_b_006_006_selected_result_020_000_ag_a_004_b_006.xyz,-155.625687
130,[CH]C(=C)C,c5h6_aggregates_ag_a_004_b_006_000_selected_result_029_000_ag_a_004_b_006.xyz,-155.643575
131,C#CCC,c7h10_aggregates_ag_a_004_b_006_001_selected_result_004_001_ag_a_004_b_006.xyz,-155.746332
132,C=CC=C,c6h8_aggregates_ag_a_004_b_006_007_selected_result_023_002_ag_a_004_b_006.xyz,-155.771971
133,C=C=CC,c4h7_aggregates_ag_a_004_b_006_006_selected_result_015_000_ag_a_004_b_006.xyz,-155.754111
134,[C]1CCC1,c4h6_aggregates_ag_a_004_b_006_001_selected_result_024_000_ag_a_004_b_006.xyz,-155.643685
135,CC#CC,c4h6_aggregates_ag_a_004_b_006_009_selected_result_031_000_ag_a_004_b_006.xyz,-155.757895
136,[CH]/C=C\C,c9h9_aggregates_ag_a_004_b_006_009_selected_result_018_000_ag_a_004_b_006.xyz,-155.658617
137,C1[C@H]2C[C@@H]12,c4h9_aggregates_ag_a_004_b_006_003_selected_result_008_000_ag_a_004_b_006.xyz,-155.729122
138,[CH]C1CC1,c5h8_aggregates_ag_a_004_b_006_004_selected_result_015_000_ag_a_004_b_006.xyz,-155.646959
139,CC1C=C1,c7h9_aggregates_ag_a_004_b_006_002_selected_result_006_001_ag_a_004_b_006.xyz,-155.717195
140,C1=CCC1,c4h9_aggregates_ag_a_004_b_006_000_selected_result_004_002_ag_a_004_b_006.xyz,-155.752137
141,[CH]/C=C/C,c4h7_aggregates_ag_a_004_b_006_002_selected_result_013_000_ag_a_004_b_006.xyz,-155.660168
142,[CH]CC=C,c4h8_aggregates_ag_a_004_b_006_001_selected_result_016_000_ag_a_004_b_006.xyz,NULL
143,CC1=CC1,c5h8_aggregates_ag_a_004_b_006_009_selected_result_018_000_ag_a_004_b_006.xyz,-155.724323
144,[CH2][CH][C]C,c6h10_aggregates_ag_a_004_b_006_007_selected_result_011_000_ag_a_004_b_006.xyz,-155.663990
145,C=C1CC1,c6h9_aggregates_ag_a_004_b_006_005_selected_result_013_001_ag_a_004_b_006.xyz,-155.742676
146,[C]=CCC,c7h10_aggregates_ag_a_004_b_006_001_selected_result_001_001_ag_a_004_b_006.xyz,NULL
147,[CH][CH][CH]C,c9h9_aggregates_ag_a_004_b_006_009_selected_result_009_000_ag_a_004_b_006.xyz,-155.754109
148,C=C[C]C,c8h7_aggregates_ag_a_004_b_006_001_selected_result_003_000_ag_a_004_b_006.xyz,-155.664506
149,[CH]CC[CH],c7h10_aggregates_ag_a_004_b_006_001_selected_result_008_001_ag_a_004_b_006.xyz,-155.512314
150,C=C[CH]C,c4h7_aggregates_ag_a_004_b_007_003_selected_result_005_001_ag_a_004_b_007.xyz,-156.356125
151,[CH2]C(=C)C,c6h10_aggregates_ag_a_004_b_007_005_selected_result_007_000_ag_a_004_b_007.xyz,-156.352045
152,[C]C(C)C,c8h10_aggregates_ag_a_004_b_007_009_selected_result_006_000_ag_a_004_b_007.xyz,-156.313666
153,C[C@@H]1[CH]C1,c4h7_aggregates_ag_a_004_b_007_004_selected_result_029_000_ag_a_004_b_007.xyz,-156.306715
154,[CH]1CCC1,c6h8_aggregates_ag_a_004_b_007_002_selected_result_029_003_ag_a_004_b_007.xyz,-156.320496
155,[CH2]CC=C,c5h8_aggregates_ag_a_004_b_007_008_selected_result_009_000_ag_a_004_b_007.xyz,-156.323919
156,[CH]=CCC,c4h10_aggregates_ag_a_004_b_007_006_selected_result_002_000_ag_a_004_b_007.xyz,-156.309661
157,C=[C]CC,c5h9_aggregates_ag_a_004_b_007_003_selected_result_019_000_ag_a_004_b_007.xyz,-156.316659
158,C/[C]=C/C,c7h8_aggregates_ag_a_004_b_007_002_selected_result_000_000_ag_a_004_b_007.xyz,-156.321442
159,C[C@H]1[CH]C1,c5h7_aggregates_ag_a_004_b_007_008_selected_result_031_000_ag_a_004_b_007.xyz,-156.306723
160,[CH]=C(C)C,c8h10_aggregates_ag_a_004_b_007_001_selected_result_031_000_ag_a_004_b_007.xyz,-156.313661
161,[CH2]C1CC1,c5h9_aggregates_ag_a_004_b_007_009_selected_result_030_003_ag_a_004_b_007.xyz,-156.320952
162,[C]CCC,c4h7_aggregates_ag_a_004_b_007_004_selected_result_004_000_ag_a_004_b_007.xyz,-156.228055
163,C=C(C)C,c5h9_aggregates_ag_a_004_b_008_009_selected_result_014_001_ag_a_004_b_008.xyz,-156.997305
164,C=CCC,c5h9_aggregates_ag_a_004_b_008_007_selected_result_023_000_ag_a_004_b_008.xyz,-156.991710
165,C1CCC1,c4h10_aggregates_ag_a_004_b_008_007_selected_result_013_000_ag_a_004_b_008.xyz,-156.983070
166,C/C=C/C,c8h9_aggregates_ag_a_004_b_008_003_selected_result_024_000_ag_a_004_b_008.xyz,-156.997276
167,CC1CC1,c4h8_aggregates_ag_a_004_b_008_007_selected_result_021_000_ag_a_004_b_008.xyz,-156.983439
168,C/C=C\C,c4h8_aggregates_ag_a_004_b_008_001_selected_result_006_000_ag_a_004_b_008.xyz,-156.995460
