sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
60,[C]#C[C][CH2],c6h7_aggregates_ag_a_004_b_002_001_selected_result_001_005_ag_a_004_b_002.xyz,-153.212037,C4H2,50.094
59,[CH]1[C]2[CH][C]12,c6h3_aggregates_ag_a_004_b_002_000_selected_result_025_005_ag_a_004_b_002.xyz,-153.179337,C4H2,50.094
58,[C]1[C@H]2[C][C@@H]12,c6h7_aggregates_ag_a_004_b_002_001_selected_result_008_000_ag_a_004_b_002.xyz,-153.159109,C4H2,50.094
63,[C]12[C]3[C@H]1[C@H]23,c6h2_aggregates_ag_a_004_b_002_003_selected_result_027_000_ag_a_004_b_002.xyz,-153.157542,C4H2,50.094
82,[C]12[C@H]3[C@@H]1[C@@H]23,c9h9_aggregates_ag_a_004_b_003_000_selected_result_011_001_ag_a_004_b_003.xyz,,C4H3,51.101
90,[CH]=C1C=C1,c9h5_aggregates_ag_a_004_b_003_009_selected_result_011_000_ag_a_004_b_003.xyz,-153.809192,C4H3,51.101
89,[C]1[C@H]2[CH][C@@H]12,c9h10_aggregates_ag_a_004_b_003_001_selected_result_008_001_ag_a_004_b_003.xyz,-153.783308,C4H3,51.101
88,[C][C@H]1[C]C1,c4h4_aggregates_ag_a_004_b_003_002_selected_result_021_002_ag_a_004_b_003.xyz,-153.78331,C4H3,51.101
87,[C]#CC=C,c10h6_aggregates_ag_a_004_b_003_008_selected_result_029_000_ag_a_004_b_003.xyz,-153.812176,C4H3,51.101
86,[C]CC#C,c8h8_aggregates_ag_a_004_b_003_000_selected_result_029_002_ag_a_004_b_003.xyz,-153.748359,C4H3,51.101
85,[C]=C1[CH]C1,c4h4_aggregates_ag_a_004_b_003_002_selected_result_008_002_ag_a_004_b_003.xyz,153.772363,C4H3,51.101
84,C[C]1[C][C]1,c5h8_aggregates_ag_a_004_b_003_006_selected_result_022_002_ag_a_004_b_003.xyz,-153.801752,C4H3,51.101
83,[C]C=C=C,c5h7_aggregates_ag_a_004_b_003_003_selected_result_021_001_ag_a_004_b_003.xyz,-153.776864,C4H3,51.101
81,[CH]1[C]2[CH]C12,c10h4_aggregates_ag_a_004_b_003_002_selected_result_026_001_ag_a_004_b_003.xyz,-153.798078,C4H3,51.101
76,[CH]C1=C[CH]1,c6h4_aggregates_ag_a_004_b_003_005_selected_result_016_000_ag_a_004_b_003.xyz,-153.809191,C4H3,51.101
79,[CH2]C1=C[C]1,c5h7_aggregates_ag_a_004_b_003_001_selected_result_009_001_ag_a_004_b_003.xyz,-153.814387,C4H3,51.101
78,[CH][C]1[C]C1,c5h5_aggregates_ag_a_004_b_003_005_selected_result_021_000_ag_a_004_b_003.xyz,-153.863102,C4H3,51.101
77,[CH]=CC#C,c9h5_aggregates_ag_a_004_b_003_009_selected_result_006_000_ag_a_004_b_003.xyz,-153.836702,C4H3,51.101
75,[C]C1C=C1,c6h4_aggregates_ag_a_004_b_003_008_selected_result_027_001_ag_a_004_b_003.xyz,-153.735434,C4H3,51.101
74,[C]C(=[C])C,c5h8_aggregates_ag_a_004_b_003_006_selected_result_002_002_ag_a_004_b_003.xyz,-153.6935,C4H3,51.101
73,[C]C#CC,c9h7_aggregates_ag_a_004_b_003_002_selected_result_029_002_ag_a_004_b_003.xyz,-153.798377,C4H3,51.101
72,[CH]1[C]2C[C]12,c8h6_aggregates_ag_a_004_b_003_005_selected_result_009_004_ag_a_004_b_003.xyz,-153.803318,C4H3,51.101
71,C#C[C][CH2],c9h10_aggregates_ag_a_004_b_003_001_selected_result_000_000_ag_a_004_b_003.xyz,-153.863102,C4H3,51.101
80,[C]1[C]2C[C@@H]12,c6h5_aggregates_ag_a_004_b_003_009_selected_result_030_003_ag_a_004_b_003.xyz,-153.775057,C4H3,51.101
105,C=C1C=C1,c6h7_aggregates_ag_a_004_b_004_006_selected_result_012_003_ag_a_004_b_004.xyz,-154.490676,C4H4,52.108
