smiles,serial No.
C(c1ccc(C(C)(C)C)cc1)(C)(C)C,13895
[C@@H](c1ccc([C@H](CC)C)cc1)(CC)C,13902
C(CC)(CC)(CC)C,14018
C(CC)(CC)(CC)CC,14020
C(C(C)C)(C(C)C)CC,14040
[C@@H](CC(C)C)(C(C)C)C,14045
C(CC(C)(C)C)(C)(C)C,14058
C(CCCCC)(C)(C)C,14062
C(CCC(C)(C)C)(C)(C)C,14067
C(CC(C)C)CC(C)C,14069
C(CCC(C)C)CC(C)C,14070
C(c1c(cccc1)C)CC,14091
C(c1cc(ccc1)C)CC,14092
C(c1ccc(cc1)C)CC,14095
C1CCc2c(C1)cc(c(c2)C)C,14105
C(CCc1ccccc1)CCC,14109
C(CCCC)CCc1ccccc1,14115
[C@@H](c1cc([C@H](CC)C)ccc1)(CC)C,14120
C(Cc1ccccc1)Cc1ccccc1,14125
C(CCCCC)CCCc1ccccc1,14126
C(=C)(C=CC)C,14238
C(CC)CC#CC,14245
C(CCCCC)CCCCC,14257
C(CCCCCC)CCCCCC=C,14260
C1CC(=C)C1,14262
[C@@H]1(CCC=C1)C,14263
[C@@H]1(CC[C@@H](CC1)C)C(=C)C,14299
c1(c2c(ccc1)cccc2)CC,14315
C(CCC)c1cc2c(cc1)cccc2,14339
c1(c2cc(c3ccccc3)ccc2)cc(c2ccccc2)ccc1,14422
C([C@H](C(C)C)C)(C)(C)C,14462
C(CCC(C)C)(CC)(C)C,14478
[C@H]1([C@@H](CCC1)C)C,14498
C1CCC(=C)CC1,14502
C(CC)(CC)c1ccccc1,14527
C1(C(c2c(C1(C)C)cccc2)(C)C)C,14549
C1(Cc2c(CC1)ccc1c2ccc2c1ccc1c2cccc1C)(C)C,14720
C1CC#CCCC#C1,14752
C1([C@@H]2C[C@H]1C(=C)CC2)(C)C,14896
[C@H]1(CC[C@H](CC1)CC)CC,14910
C1(=CCC=CC1)c1ccccc1,14948
C1c2c(c3c1cccc3)ccc(c2)C,15026
C(CCCCCCCc1ccccc1)CCCCCCCC,15085
